n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32,4,4,16,0.012286,1.3655,0.1381,42.67,1.2738
32,4,8,32,0.012982,2.5846,0.2613,80.77,2.4110
32,4,16,64,0.014329,4.6834,0.4736,146.36,4.3689
32,4,32,128,0.017423,7.7033,0.7789,240.73,7.1859
32,4,64,256,0.025810,10.4003,1.0516,325.01,9.7018
32,16,16,256,0.021360,12.5672,1.2707,392.73,11.7231
32,32,8,256,0.021601,12.4270,1.2565,388.34,11.5924
32,32,16,512,0.031442,17.0752,1.7265,533.60,15.9283
32,8,64,512,0.031418,17.0880,1.7278,534.00,15.9403
32,64,16,1024,0.065836,16.3094,1.6491,509.67,15.2140
32,16,64,1024,0.065548,16.3809,1.6563,511.90,15.2807
32,64,64,4096,0.218419,19.6639,1.9883,614.50,18.3432
