n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32,4,4,16,0.008401,1.9971,0.2019,62.41,1.8630
32,4,8,32,0.008483,3.9553,0.3999,123.60,3.6897
32,4,16,64,0.008505,7.8904,0.7978,246.58,7.3605
32,4,32,128,0.008759,15.3233,1.5494,478.85,14.2942
32,4,64,256,0.011746,22.8529,2.3107,714.15,21.3180
32,16,16,256,0.011706,22.9307,2.3186,716.58,21.3905
32,32,8,256,0.011631,23.0802,2.3337,721.26,21.5300
32,32,16,512,0.017158,31.2900,3.1638,977.81,29.1884
32,8,64,512,0.017204,31.2067,3.1554,975.21,29.1108
32,64,16,1024,0.040746,26.3522,2.6645,823.51,24.5823
32,16,64,1024,0.040231,26.6895,2.6986,834.05,24.8969
32,64,64,4096,0.126741,33.8878,3.4265,1058.99,31.6118
