n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,gbps,mem_eff_pct
32,4,4,16,0.057932,0.2896,0.0293,15.91,0.4749
32,4,8,32,0.061778,0.5431,0.0549,29.84,0.8906
32,4,16,64,0.061726,1.0872,0.1099,59.72,1.7827
32,4,32,128,0.060963,2.2016,0.2226,120.94,3.6101
32,4,64,256,0.060866,4.4103,0.4459,242.26,7.2318
32,16,16,256,0.061381,4.3733,0.4422,240.23,7.1711
32,32,8,256,0.061014,4.3996,0.4449,241.68,7.2142
32,32,16,512,0.140983,3.8080,0.3850,209.18,6.2443
32,8,64,512,0.142561,3.7659,0.3808,206.87,6.1752
32,64,16,1024,0.344761,3.1145,0.3149,171.08,5.1069
32,16,64,1024,0.341802,3.1414,0.3176,172.56,5.1511
32,64,64,4096,1.243435,3.4541,0.3493,189.74,5.6639
