n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32,4,4,16,0.058166,0.2884,0.0292,9.01,0.2691
32,4,8,32,0.062052,0.5407,0.0547,16.90,0.5044
32,4,16,64,0.062008,1.0823,0.1094,33.82,1.0096
32,4,32,128,0.061227,2.1921,0.2217,68.50,2.0449
32,4,64,256,0.061163,4.3888,0.4438,137.15,4.0941
32,16,16,256,0.061683,4.3519,0.4400,136.00,4.0596
32,32,8,256,0.061320,4.3776,0.4426,136.80,4.0836
32,32,16,512,0.140379,3.8245,0.3867,119.51,3.5676
32,8,64,512,0.141216,3.8018,0.3844,118.81,3.5464
32,64,16,1024,0.345203,3.1105,0.3145,97.20,2.9016
32,16,64,1024,0.342494,3.1351,0.3170,97.97,2.9245
32,64,64,4096,1.249109,3.4384,0.3477,107.45,3.2075
