n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32,4,4,16,0.039027,0.4299,0.0435,13.43,0.4010
32,4,8,32,0.041400,0.8105,0.0820,25.33,0.7561
32,4,16,64,0.041377,1.6219,0.1640,50.68,1.5130
32,4,32,128,0.041069,3.2681,0.3304,102.13,3.0486
32,4,64,256,0.041964,6.3968,0.6468,199.90,5.9671
32,16,16,256,0.042164,6.3664,0.6437,198.95,5.9388
32,32,8,256,0.041970,6.3959,0.6467,199.87,5.9663
32,32,16,512,0.077168,6.9572,0.7035,217.41,6.4899
32,8,64,512,0.076955,6.9764,0.7054,218.01,6.5078
32,64,16,1024,0.198936,5.3974,0.5457,168.67,5.0349
32,16,64,1024,0.197406,5.4393,0.5500,169.98,5.0739
32,64,64,4096,0.729737,5.8856,0.5951,183.93,5.4903
