n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32,4,4,16,0.058105,0.2887,0.0292,9.02,0.2693
32,4,8,32,0.061902,0.5421,0.0548,16.94,0.5056
32,4,16,64,0.061730,1.0871,0.1099,33.97,1.0141
32,4,32,128,0.061281,2.1902,0.2215,68.44,2.0431
32,4,64,256,0.061307,4.3785,0.4427,136.83,4.0845
32,16,16,256,0.061890,4.3373,0.4386,135.54,4.0460
32,32,8,256,0.061176,4.3879,0.4437,137.12,4.0932
32,32,16,512,0.142216,3.7750,0.3817,117.97,3.5215
32,8,64,512,0.141363,3.7978,0.3840,118.68,3.5427
32,64,16,1024,0.345636,3.1066,0.3141,97.08,2.8979
32,16,64,1024,0.342951,3.1309,0.3166,97.84,2.9206
32,64,64,4096,1.247792,3.4421,0.3480,107.56,3.2109
